position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR INSTRUCTOR                    ,489652.0,1/4 of  time,25,PUESTO NO ADMINISTRATIVO ,0.489652,11268.69862194033,30 años
PROFESOR INSTRUCTOR                    ,183223.1,1/8  of time,9,PUESTO NO ADMINISTRATIVO ,0.1832231,8433.278714179194,10 años
PROFESOR INSTRUCTOR                    ,906488.05,Part Time,30,PUESTO NO ADMINISTRATIVO ,0.9064880500000001,10430.81682484742,30 años
PROFESOR INTERINO LICENCIADO           ,295321.3,Part Time,2,PUESTO NO ADMINISTRATIVO ,0.2953213,3398.216209001114,10 años
PROFESOR INSTRUCTOR                    ,207447.95,1/8  of time,16,PUESTO NO ADMINISTRATIVO ,0.20744795000000002,9548.285019929854,20 años
PROFESOR INTERINO LICENCIADO           ,597305.7,3/8 of time,19,PUESTO NO ADMINISTRATIVO ,0.5973056999999999,9164.138229418857,20 años
PROFESOR INTERINO LICENCIADO           ,1995972.0,Full time,21,PUESTO NO ADMINISTRATIVO ,1.995972,11483.669486610635,30 años
PROFESOR ADJUNTO                       ,3535088.0,Full time,33,PUESTO NO ADMINISTRATIVO ,3.535088,20338.853550091593,40 años
PROFESOR INTERINO LICENCIADO           ,176622.95,1/8  of time,15,PUESTO NO ADMINISTRATIVO ,0.17662295,8129.49112131896,20 años
PROFESOR ASOCIADO                      ,3395463.0,Full time,28,PUESTO NO ADMINISTRATIVO ,3.395463,19535.531984424335,30 años
PROFESOR INSTRUCTOR                    ,512078.75,1/4 of  time,29,PUESTO NO ADMINISTRATIVO ,0.51207875,11784.820861448388,30 años
PROFESOR ADJUNTO                       ,2358166.0,Full time,23,PUESTO NO ADMINISTRATIVO ,2.358166,13567.524463550919,30 años
PROFESOR ADJUNTO                       ,2280569.0,Full time,21,PUESTO NO ADMINISTRATIVO ,2.280569,13121.076166103598,30 años
PROFESOR ASOCIADO                      ,3735780.0,Full time,25,PUESTO NO ADMINISTRATIVO ,3.73578,21493.519345306588,30 años
PROFESOR CATEDRATICO,3171739.0,Full time,15,PUESTO NO ADMINISTRATIVO ,3.171739,18248.35337058482,20 años
PROFESOR INTERINO LICENCIADO           ,765898.1,3/4 of time,6,PUESTO NO ADMINISTRATIVO ,0.7658981,5875.380109422417,10 años
PROFESOR ASOCIADO                      ,3598373.0,Full time,30,PUESTO NO ADMINISTRATIVO ,3.598373,20702.958869935836,30 años
PROFESOR INTERINO,1899065.5,Full time,17,ADMINISTRATIVO,1.8990655,10926.125484438144,20 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,6,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
PROFESOR INTERINO LICENCIADO           ,356090.15,3/8 of time,13,PUESTO NO ADMINISTRATIVO ,0.35609015000000005,5463.298536636257,20 años
PROFESOR INTERINO LICENCIADO           ,643668.0,Part Time,16,PUESTO NO ADMINISTRATIVO ,0.643668,7406.587438208246,20 años
PROFESOR INSTRUCTOR                    ,474700.7,1/4 of  time,24,PUESTO NO ADMINISTRATIVO ,0.47470070000000003,10924.614060443151,30 años
PROFESOR INSTRUCTOR                    ,2020897.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.020897,11627.073533337629,20 años
PROFESOR INSTRUCTOR                    ,588323.75,1/4 of  time,33,PUESTO NO ADMINISTRATIVO ,0.58832375,13539.499544328966,40 años
PROFESOR INSTRUCTOR                    ,1259520.35,3/4 of time,20,PUESTO NO ADMINISTRATIVO ,1.25952035,9662.069682380414,20 años
PROFESOR INSTRUCTOR                    ,500992.75,1/4 of  time,25,PUESTO NO ADMINISTRATIVO ,0.50099275,11529.691110272388,30 años
PROFESOR ADJUNTO                       ,2388168.0,Full time,18,PUESTO NO ADMINISTRATIVO ,2.388168,13740.138634459776,20 años
PROFESOR ASOCIADO                      ,4574879.0,Full time,33,PUESTO NO ADMINISTRATIVO ,4.574879,26321.210105770908,40 años
PROFESOR CATEDRATICO,3262523.5,Full time,24,PUESTO NO ADMINISTRATIVO ,3.2625235,18770.674922443868,30 años
PROFESOR INTERINO LICENCIADO           ,220771.95,1/4 of  time,13,PUESTO NO ADMINISTRATIVO ,0.22077195000000002,5080.776896097798,20 años
PROFESOR CATEDRATICO,850272.95,1/4 of  time,47,PUESTO NO ADMINISTRATIVO ,0.8502729499999999,19567.916846940556,50 años
PROFESOR CATEDRATICO,6172069.0,Full time,33,PUESTO NO ADMINISTRATIVO ,6.172069,35510.51840634809,40 años
PROFESOR INTERINO LICENCIADO           ,422380.5,Part Time,15,PUESTO NO ADMINISTRATIVO ,0.4223805,4860.2666365954465,20 años
PROFESOR INSTRUCTOR                    ,942181.0,Part Time,21,PUESTO NO ADMINISTRATIVO ,0.942181,10841.530042069022,30 años
PROFESOR CATEDRATICO,4513233.0,Full time,29,PUESTO NO ADMINISTRATIVO ,4.513233,25966.53464480673,30 años
PROFESOR CATEDRATICO,3718636.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.718636,21394.88267621581,30 años
PROFESOR ASOCIADO                      ,3797597.0,Full time,36,PUESTO NO ADMINISTRATIVO ,3.797597,21849.178641455936,40 años
PROFESOR CATEDRATICO,6588817.0,Full time,32,PUESTO NO ADMINISTRATIVO ,6.588817,37908.245574467684,40 años
PROFESOR ASOCIADO                      ,3643542.0,Full time,31,PUESTO NO ADMINISTRATIVO ,3.643542,20962.835194373612,40 años
PROFESOR INSTRUCTOR                    ,243579.95,1/8  of time,27,PUESTO NO ADMINISTRATIVO ,0.24357995000000002,11211.346208724948,30 años
PROFESOR INTERINO LICENCIADO           ,472831.5,1/4 of  time,20,PUESTO NO ADMINISTRATIVO ,0.4728315,10881.596873820547,20 años
PROFESOR INTERINO LICENCIADO           ,788052.5,Part Time,9,PUESTO NO ADMINISTRATIVO ,0.7880525,9067.997394850456,10 años
PROFESOR INSTRUCTOR                    ,233496.45,1/8  of time,22,PUESTO NO ADMINISTRATIVO ,0.23349645000000002,10747.22915189955,30 años
PROFESOR CATEDRATICO,3025069.0,Full time,12,PUESTO NO ADMINISTRATIVO ,3.025069,17404.498945973064,20 años
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 of  time,6,PUESTO NO ADMINISTRATIVO ,0.15319785,3525.64760519557,10 años
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8  of time,1,PUESTO NO ADMINISTRATIVO ,0.0738303,3398.2150583166867,10 años
PROFESOR CATEDRATICO,4117335.0,Full time,26,PUESTO NO ADMINISTRATIVO ,4.117335,23688.76632821202,30 años
PROFESOR INSTRUCTOR                    ,1577439.8,7/8 of time,21,PUESTO NO ADMINISTRATIVO ,1.5774398,10372.202357390748,30 años
PROFESOR CATEDRATICO,3679641.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.679641,21170.527980042527,30 años
PROFESOR INTERINO LICENCIADO           ,688484.15,7/8 of time,3,PUESTO NO ADMINISTRATIVO ,0.6884841500000001,4527.017084047306,10 años
PROFESOR INTERINO LICENCIADO           ,1042192.5,Full time,11,PUESTO NO ADMINISTRATIVO ,1.0421925,5996.173398937687,20 años
PROFESOR INTERINO LICENCIADO           ,647650.2,Part Time,18,PUESTO NO ADMINISTRATIVO ,0.6476502,7452.409993464111,20 años
PROFESOR CATEDRATICO,5372443.5,Full time,32,PUESTO NO ADMINISTRATIVO ,5.3724435,30909.935354548885,40 años
