position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
TECNICO ESPECIALIZADO B,1373286.0,Full time,17,ADMINISTRATIVO,1.373286,7901.094070753284,20 años
PROFESIONAL A,2298870.0,Full time,17,ADMINISTRATIVO,2.29887,13226.369544605132,20 años
TRABAJADOR OPERATIVO C,1493590.0,Full time,17,ADMINISTRATIVO,1.49359,8593.253767340813,20 años
PROFESOR INSTRUCTOR                    ,252391.05,1/4 of  time,14,PUESTO NO ADMINISTRATIVO ,0.25239105,5808.4490154744035,20 años
PROFESOR INTERINO LICENCIADO           ,108144.8,1/8  of time,10,PUESTO NO ADMINISTRATIVO ,0.1081448,4977.621489261813,10 años
TECNICO ESPECIALIZADO B,1031719.0,Full time,16,ADMINISTRATIVO,1.031719,5935.914932201673,20 años
TECNICO ESPECIALIZADO D,1583330.0,Full time,17,ADMINISTRATIVO,1.58333,9109.565869779344,20 años
PROFESOR INSTRUCTOR                    ,1822333.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.822333,10484.651020426949,10 años
TECNICO ASISTENCIAL A,1193269.0,Full time,17,ADMINISTRATIVO,1.193269,6865.380278189466,20 años
TECNICO ASISTENCIAL A,402477.5,Part Time,16,ADMINISTRATIVO,0.4024775,4631.245915070283,20 años
TECNICO ESPECIALIZADO D,1527283.0,Full time,14,ADMINISTRATIVO,1.527283,8787.103819351749,20 años
TECNICO ESPECIALIZADO D,1583330.0,Full time,17,ADMINISTRATIVO,1.58333,9109.565869779344,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
PROFESOR INSTRUCTOR                    ,575334.9,1/4 of  time,15,PUESTO NO ADMINISTRATIVO ,0.5753349,13240.578195910926,20 años
TRABAJADOR OPERATIVO A,1026716.0,Full time,17,ADMINISTRATIVO,1.026716,5907.130561257835,20 años
TECNICO ESPECIALIZADO C,1443782.0,Full time,17,ADMINISTRATIVO,1.443782,8306.687317616517,20 años
JEFE A,2947371.0,Full time,17,ADMINISTRATIVO,2.947371,16957.469552890056,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,17,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
TECNICO ESPECIALIZADO B,1349403.0,Full time,17,ADMINISTRATIVO,1.349403,7763.685089891466,20 años
PROFESIONAL A,1915603.0,Full time,17,ADMINISTRATIVO,1.915603,11021.272703003746,20 años
PROFESOR EDUCACION SUPERIOR,487151.7,Part Time,9,PUESTO NO ADMINISTRATIVO ,0.4871517,5605.578748239453,10 años
PROFESOR INSTRUCTOR                    ,1968294.0,Full time,12,PUESTO NO ADMINISTRATIVO ,1.968294,11324.426268744648,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,17,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
PROFESIONAL B,2439866.0,Full time,14,ADMINISTRATIVO,2.439866,14037.57905202014,20 años
PROFESIONAL B,2392868.0,Full time,17,ADMINISTRATIVO,2.392868,13767.17971849656,20 años
TECNICO ESPECIALIZADO B,1349403.0,Full time,17,ADMINISTRATIVO,1.349403,7763.685089891466,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,16,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TECNICO ASISTENCIAL B,1202128.0,Full time,17,ADMINISTRATIVO,1.202128,6916.349844887739,20 años
PROFESIONAL A,398881.0,Part Time,2,ADMINISTRATIVO,0.398881,4589.861549649731,10 años
TRABAJADOR OPERATIVO B,780007.0,Full time,15,ADMINISTRATIVO,0.780007,4487.709539634174,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TECNICO ASISTENCIAL A,756143.0,Full time,14,ADMINISTRATIVO,0.756143,4350.409873792932,20 años
TECNICO ESPECIALIZADO C,1367121.0,Full time,14,ADMINISTRATIVO,1.367121,7865.62422328801,20 años
PROFESIONAL A,2132717.0,Full time,17,ADMINISTRATIVO,2.132717,12270.421196527694,20 años
PROFESOR INTERINO LICENCIADO           ,442064.8,Part Time,3,PUESTO NO ADMINISTRATIVO ,0.4420648,5086.770811278548,10 años
JEFE A,2468879.0,Full time,15,ADMINISTRATIVO,2.468879,14204.503088437,20 años
PROFESIONAL A,2132717.0,Full time,17,ADMINISTRATIVO,2.132717,12270.421196527694,20 años
PROFESIONAL C,2421446.0,Full time,17,ADMINISTRATIVO,2.421446,13931.601016284485,20 años
TECNICO ASISTENCIAL B,1180851.0,Full time,16,ADMINISTRATIVO,1.180851,6793.934282110999,20 años
PROFESOR INTERINO LICENCIADO           ,1296153.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.296153,7457.315361176827,10 años
PROFESOR CATEDRATICO,2648299.75,Full time,13,PUESTO NO ADMINISTRATIVO ,2.64829975,15236.786403052534,20 años
PROFESOR INTERINO LICENCIADO           ,483551.15,Part Time,12,PUESTO NO ADMINISTRATIVO ,0.48355115000000004,5564.147780099603,20 años
PROFESOR ASOCIADO                      ,3037248.0,Full time,16,PUESTO NO ADMINISTRATIVO ,3.037248,17474.56987416115,20 años
TECNICO ASISTENCIAL A,1193269.0,Full time,17,ADMINISTRATIVO,1.193269,6865.380278189466,20 años
PROFESOR ASOCIADO                      ,1137549.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.137549,6544.799596800176,10 años
PROFESIONAL A,1467433.0,Full time,9,ADMINISTRATIVO,1.467433,8442.761504542901,10 años
TECNICO ESPECIALIZADO B,1349403.0,Full time,17,ADMINISTRATIVO,1.349403,7763.685089891466,20 años
PROFESOR INTERINO,1341047.5,Full time,13,ADMINISTRATIVO,1.3410475,7715.6123712384115,20 años
PROFESIONAL A,1881698.0,Full time,17,ADMINISTRATIVO,1.881698,10826.202925500085,20 años
PROFESIONAL A,1139846.0,Full time,13,ADMINISTRATIVO,1.139846,6558.015207445387,20 años
PROFESOR INTERINO LICENCIADO           ,387964.3,Part Time,6,PUESTO NO ADMINISTRATIVO ,0.3879643,4464.244782796807,10 años
PROFESOR INTERINO LICENCIADO           ,1033247.95,7/8 of time,9,PUESTO NO ADMINISTRATIVO ,1.03324795,6793.956145115114,10 años
TECNICO ESPECIALIZADO B,1301637.0,Full time,14,ADMINISTRATIVO,1.301637,7488.867128167834,20 años
PROFESOR CATEDRATICO,2556767.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.556767,14710.159853080611,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
PROFESOR INTERINO LICENCIADO           ,313040.4,Part Time,4,PUESTO NO ADMINISTRATIVO ,0.3130404,3602.1071333229,10 años
PROFESOR CATEDRATICO,2639758.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.639758,15187.642109526747,20 años
PROFESOR ADJUNTO                       ,1676794.3,Full time,8,PUESTO NO ADMINISTRATIVO ,1.6767943,9647.305442277066,10 años
PROFESOR EXBECARIO,2212222.0,Full time,8,PUESTO NO ADMINISTRATIVO ,2.212222,12727.847023409522,10 años
PROFESOR INTERINO LICENCIADO           ,314231.75,1/4 of  time,8,PUESTO NO ADMINISTRATIVO ,0.31423175,7231.631624490246,10 años
PROFESOR INSTRUCTOR                    ,546891.5,1/4 of  time,16,PUESTO NO ADMINISTRATIVO ,0.5468915,12585.990647236975,20 años
PROFESIONAL A,590065.45,Part Time,7,ADMINISTRATIVO,0.59006545,6789.791242831236,10 años
PROFESOR EDUCACION SUPERIOR,491952.45,1/4 of  time,12,PUESTO NO ADMINISTRATIVO ,0.49195245,11321.640461746645,20 años
TECNICO ESPECIALIZADO B,1373286.0,Full time,17,ADMINISTRATIVO,1.373286,7901.094070753284,20 años
PROFESIONAL B,2392868.0,Full time,17,ADMINISTRATIVO,2.392868,13767.17971849656,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
PROFESOR CATEDRATICO,3036815.0,Full time,13,PUESTO NO ADMINISTRATIVO ,3.036815,17472.078642376484,20 años
PROFESOR INTERINO LICENCIADO           ,799660.2,5/8 of time,11,PUESTO NO ADMINISTRATIVO ,0.7996601999999999,7361.2523128756975,20 años
PROFESOR INTERINO LICENCIADO           ,389587.75,Part Time,1,PUESTO NO ADMINISTRATIVO ,0.38958775,4482.925569128517,10 años
PROFESOR ADJUNTO                       ,1935439.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.935439,11135.39758448325,10 años
PROFESOR INTERINO LICENCIADO           ,1388736.0,Full time,13,PUESTO NO ADMINISTRATIVO ,1.388736,7989.984442746545,20 años
PROFESOR INTERINO LICENCIADO           ,350531.0,Part Time,3,PUESTO NO ADMINISTRATIVO ,0.350531,4033.505629148217,10 años
TECNICO ESPECIALIZADO D,1297083.0,Full time,12,ADMINISTRATIVO,1.297083,7462.666043762829,20 años
PROFESOR ASOCIADO                      ,1990217.0,Full time,11,PUESTO NO ADMINISTRATIVO ,1.990217,11450.558542220911,20 años
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8  of time,4,PUESTO NO ADMINISTRATIVO ,0.0738303,3398.2150583166867,10 años
PROFESOR VISITANTE,1678357.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.678357,9656.29631504819,10 años
PROFESOR INTERINO LICENCIADO           ,444570.5,Part Time,2,PUESTO NO ADMINISTRATIVO ,0.4445705,5115.6035109683235,10 años
PROFESOR INTERINO LICENCIADO           ,1638417.0,Full time,13,PUESTO NO ADMINISTRATIVO ,1.638417,9426.504634956871,20 años
PROFESOR INTERINO LICENCIADO           ,36915.15,1/8  of time,1,PUESTO NO ADMINISTRATIVO ,0.03691515,1699.1075291583434,10 años
PROFESOR EXBECARIO,2553021.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.553021,14688.607533761078,20 años
TECNICO ESPECIALIZADO B,1301637.0,Full time,15,ADMINISTRATIVO,1.301637,7488.867128167834,20 años
PROFESIONAL A,1467433.0,Full time,10,ADMINISTRATIVO,1.467433,8442.761504542901,10 años
PROFESOR INTERINO LICENCIADO           ,171387.6,1/8  of time,5,PUESTO NO ADMINISTRATIVO ,0.1713876,7888.521692702819,10 años
PROFESOR INTERINO LICENCIADO           ,832269.0,Full time,10,PUESTO NO ADMINISTRATIVO ,0.832269,4788.394887278953,10 años
PROFESOR INTERINO LICENCIADO           ,694368.0,Part Time,13,PUESTO NO ADMINISTRATIVO ,0.694368,7989.984442746545,20 años
PROFESOR INTERINO LICENCIADO           ,432780.0,Part Time,3,PUESTO NO ADMINISTRATIVO ,0.43278,4979.932063591424,10 años
PROFESOR INSTRUCTOR                    ,1226234.25,3/4 of time,13,PUESTO NO ADMINISTRATIVO ,1.22623425,9406.72436965507,20 años
PROFESOR INTERINO LICENCIADO           ,82505.4,1/8  of time,6,PUESTO NO ADMINISTRATIVO ,0.08250539999999999,3797.507157257136,10 años
PROFESOR INTERINO BACHILLER            ,333038.7,5/8 of time,1,PUESTO NO ADMINISTRATIVO ,0.3330387,3065.7795656856697,10 años
PROFESOR INTERINO LICENCIADO           ,1525503.75,Full time,13,PUESTO NO ADMINISTRATIVO ,1.52550375,8776.867043017186,20 años
PROFESOR INTERINO LICENCIADO           ,1759469.0,Full time,11,PUESTO NO ADMINISTRATIVO ,1.759469,10122.967891301745,20 años
TECNICO ESPECIALIZADO B,1253870.0,Full time,12,ADMINISTRATIVO,1.25387,7214.043413022065,20 años
TECNICO ESPECIALIZADO B,1301637.0,Full time,14,ADMINISTRATIVO,1.301637,7488.867128167834,20 años
TECNICO ASISTENCIAL B,1308511.0,Full time,17,ADMINISTRATIVO,1.308511,7528.416151927166,20 años
PROFESOR INTERINO LICENCIADO           ,795969.5,7/8 of time,7,PUESTO NO ADMINISTRATIVO ,0.7959695,5233.769760539283,10 años
PROFESOR ASOCIADO                      ,2509908.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.509908,14440.560245233864,20 años
TRABAJADOR OPERATIVO B,1181925.0,Full time,17,ADMINISTRATIVO,1.181925,6800.113457484511,20 años
PROFESOR INTERINO LICENCIADO           ,590642.5,Full time,3,PUESTO NO ADMINISTRATIVO ,0.5906425,3398.2156336589005,10 años
PROFESOR INSTRUCTOR                    ,2460105.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.460105,14154.022562620245,20 años
PROFESOR INTERINO LICENCIADO           ,191201.45,1/4 of  time,10,PUESTO NO ADMINISTRATIVO ,0.19120145000000002,4400.250619068222,10 años
PROFESIONAL A,2220743.0,Full time,17,ADMINISTRATIVO,2.220743,12776.871933426,20 años
TECNICO ASISTENCIAL B,1202128.0,Full time,17,ADMINISTRATIVO,1.202128,6916.349844887739,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,17,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TECNICO ESPECIALIZADO D,1583330.0,Full time,17,ADMINISTRATIVO,1.58333,9109.565869779344,20 años
TRABAJADOR OPERATIVO C,1138977.0,Full time,17,ADMINISTRATIVO,1.138977,6553.01548360965,20 años
TECNICO ASISTENCIAL B,1202128.0,Full time,17,ADMINISTRATIVO,1.202128,6916.349844887739,20 años
PROFESOR ASOCIADO                      ,968301.8,Part Time,15,PUESTO NO ADMINISTRATIVO ,0.9683018000000001,11142.098019902238,20 años
PROFESOR INSTRUCTOR                    ,1378360.15,Full time,12,PUESTO NO ADMINISTRATIVO ,1.37836015,7930.28779768206,20 años
PROFESOR INSTRUCTOR                    ,1376243.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.376243,7918.106940007916,10 años
PROFESOR INTERINO LICENCIADO           ,1691321.0,Full time,15,PUESTO NO ADMINISTRATIVO ,1.691321,9730.883679612632,20 años
TECNICO ESPECIALIZADO C,1443782.0,Full time,17,ADMINISTRATIVO,1.443782,8306.687317616517,20 años
TECNICO ESPECIALIZADO C,1443782.0,Full time,17,ADMINISTRATIVO,1.443782,8306.687317616517,20 años
PROFESIONAL C,2221221.0,Full time,7,ADMINISTRATIVO,2.221221,12779.622069206762,10 años
TECNICO ESPECIALIZADO B,1349403.0,Full time,17,ADMINISTRATIVO,1.349403,7763.685089891466,20 años
PROFESOR INTERINO LICENCIADO           ,687948.35,3/4 of time,12,PUESTO NO ADMINISTRATIVO ,0.68794835,5277.409686614931,20 años
TRABAJADOR OPERATIVO B,720221.0,Full time,15,ADMINISTRATIVO,0.720221,4143.735443841997,20 años
TECNICO ASISTENCIAL B,1349372.0,Full time,16,ADMINISTRATIVO,1.349372,7763.506733805267,20 años
TRABAJADOR OPERATIVO B,1033021.0,Full time,16,ADMINISTRATIVO,1.033021,5943.405887822077,20 años
TECNICO ASISTENCIAL A,1189926.0,Full time,16,ADMINISTRATIVO,1.189926,6846.146587990535,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,16,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,16,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TRABAJADOR OPERATIVO A,1026716.0,Full time,17,ADMINISTRATIVO,1.026716,5907.130561257835,20 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,1,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
PROFESIONAL B,2772846.0,Full time,16,ADMINISTRATIVO,2.772846,15953.353554694331,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,16,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
PROFESOR ASOCIADO                      ,1296580.0,Part Time,15,PUESTO NO ADMINISTRATIVO ,1.29658,14919.54414485736,20 años
PROFESIONAL B,2316872.0,Full time,15,ADMINISTRATIVO,2.316872,13329.942649888151,20 años
PROFESOR EDUCACION SUPERIOR,784018.1,Part Time,11,PUESTO NO ADMINISTRATIVO ,0.7840180999999999,9021.574182323644,20 años
PROFESOR INSTRUCTOR                    ,2092662.0,Full time,16,PUESTO NO ADMINISTRATIVO ,2.092662,12039.967872890793,20 años
PROFESOR INSTRUCTOR                    ,1580604.5,Full time,13,PUESTO NO ADMINISTRATIVO ,1.5806045,9093.884917749076,20 años
PROFESIONAL A,1915603.0,Full time,16,ADMINISTRATIVO,1.915603,11021.272703003746,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,15,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
TECNICO ASISTENCIAL A,1113049.0,Full time,16,ADMINISTRATIVO,1.113049,6403.840754480765,20 años
PROFESOR INSTRUCTOR                    ,502630.0,1/4 of  time,10,PUESTO NO ADMINISTRATIVO ,0.50263,11567.370271837688,10 años
TECNICO ESPECIALIZADO C,721891.0,Part Time,16,ADMINISTRATIVO,0.721891,8306.687317616517,20 años
TECNICO ESPECIALIZADO D,1332482.0,Full time,11,ADMINISTRATIVO,1.332482,7666.331433936905,20 años
PROFESOR ASOCIADO                      ,2374876.0,Full time,12,PUESTO NO ADMINISTRATIVO ,2.374876,13663.664147434893,20 años
PROFESIONAL B,2446199.0,Full time,16,ADMINISTRATIVO,2.446199,14074.015474404174,20 años
TECNICO ASISTENCIAL A,1113049.0,Full time,16,ADMINISTRATIVO,1.113049,6403.840754480765,20 años
PROFESOR INSTRUCTOR                    ,418164.75,1/4 of  time,16,PUESTO NO ADMINISTRATIVO ,0.41816475,9623.513315720189,20 años
PROFESIONAL A,1098363.7,5/8 of time,14,ADMINISTRATIVO,1.0983637,10110.960039031215,20 años
PROFESIONAL A,1915603.0,Full time,16,ADMINISTRATIVO,1.915603,11021.272703003746,20 años
TECNICO ESPECIALIZADO D,1583330.0,Full time,16,ADMINISTRATIVO,1.58333,9109.565869779344,20 años
PROFESOR INTERINO LICENCIADO           ,106963.9,1/8  of time,11,PUESTO NO ADMINISTRATIVO ,0.1069639,4923.267759663448,20 años
TRABAJADOR OPERATIVO B,995795.0,Full time,14,ADMINISTRATIVO,0.995795,5729.228995406467,20 años
PROFESOR PROFESOR SEP CONTRACTUAL      ,68750.0,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.06875,1582.1910872587014,10 años
TECNICO ESPECIALIZADO B,1301637.0,Full time,14,ADMINISTRATIVO,1.301637,7488.867128167834,20 años
TECNICO ASISTENCIAL B,1265958.0,Full time,16,ADMINISTRATIVO,1.265958,7283.5907797958225,20 años
PROFESOR CATEDRATICO,2505788.0,Full time,13,PUESTO NO ADMINISTRATIVO ,2.505788,14416.856146035661,20 años
PROFESIONAL B,2392868.0,Full time,16,ADMINISTRATIVO,2.392868,13767.17971849656,20 años
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 of time,6,PUESTO NO ADMINISTRATIVO ,0.2214909,3398.2150583166863,10 años
TRABAJADOR OPERATIVO C,1100038.0,Full time,16,ADMINISTRATIVO,1.100038,6328.982979075954,20 años
TECNICO ESPECIALIZADO D,1595006.0,Full time,16,ADMINISTRATIVO,1.595006,9176.74282663328,20 años
TECNICO ESPECIALIZADO B,1277753.0,Full time,15,ADMINISTRATIVO,1.277753,7351.452393883881,20 años
PROFESOR INTERINO LICENCIADO           ,187138.0,1/4 of  time,7,PUESTO NO ADMINISTRATIVO ,0.187138,4306.735646362456,10 años
PROFESOR INTERINO,1562397.5,Full time,12,ADMINISTRATIVO,1.5623975,8989.132360928279,20 años
PROFESOR INSTRUCTOR                    ,215695.7,1/8  of time,16,PUESTO NO ADMINISTRATIVO ,0.21569570000000002,9927.907319273503,20 años
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 of  time,2,PUESTO NO ADMINISTRATIVO ,0.20806725,4788.394887278953,10 años
TRABAJADOR OPERATIVO C,1100038.0,Full time,16,ADMINISTRATIVO,1.100038,6328.982979075954,20 años
PROFESOR INSTRUCTOR                    ,423618.6,1/4 of  time,16,PUESTO NO ADMINISTRATIVO ,0.42361859999999996,9749.026520974674,20 años
PROFESIONAL B,2658852.0,Full time,16,ADMINISTRATIVO,2.658852,15297.497951781717,20 años
TECNICO ASISTENCIAL B,1202128.0,Full time,16,ADMINISTRATIVO,1.202128,6916.349844887739,20 años
PROFESIONAL A,361856.0,Part Time,1,ADMINISTRATIVO,0.361856,4163.8206405169785,10 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,16,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
TECNICO ASISTENCIAL A,979769.0,Full time,11,ADMINISTRATIVO,0.979769,5637.024652263166,20 años
TECNICO ESPECIALIZADO C,1551725.0,Full time,15,ADMINISTRATIVO,1.551725,8927.728963187303,20 años
PROFESOR INTERINO,1268513.85,Full time,10,ADMINISTRATIVO,1.2685138500000002,7298.295663760805,10 años
PROFESOR INSTRUCTOR                    ,905260.45,7/8 of time,2,PUESTO NO ADMINISTRATIVO ,0.90526045,5952.3948701830695,10 años
TECNICO ASISTENCIAL A,1156095.5,Full time,16,ADMINISTRATIVO,1.1560955,6651.505440435971,20 años
TRABAJADOR OPERATIVO C,1444063.0,Full time,15,ADMINISTRATIVO,1.444063,8308.304029236588,20 años
TECNICO ASISTENCIAL A,430293.1,Part Time,14,ADMINISTRATIVO,0.4302931,4951.315692573942,20 años
TECNICO ESPECIALIZADO D,1011576.0,Full time,15,ADMINISTRATIVO,1.011576,5820.023750126575,20 años
TECNICO ASISTENCIAL B,1180851.0,Full time,16,ADMINISTRATIVO,1.180851,6793.934282110999,20 años
TECNICO ASISTENCIAL A,1113049.0,Full time,16,ADMINISTRATIVO,1.113049,6403.840754480765,20 años
PROFESOR INTERINO LICENCIADO           ,52016.8,1/8  of time,3,PUESTO NO ADMINISTRATIVO ,0.0520168,2394.196868297263,10 años
PROFESIONAL C,2925101.0,Full time,16,ADMINISTRATIVO,2.925101,16829.340841932782,20 años
PROFESIONAL B,1625884.0,Full time,11,ADMINISTRATIVO,1.625884,9354.396995332823,20 años
TECNICO ESPECIALIZADO D,1583330.0,Full time,16,ADMINISTRATIVO,1.58333,9109.565869779344,20 años
TRABAJADOR OPERATIVO B,1051634.0,Full time,16,ADMINISTRATIVO,1.051634,6050.4943340298805,20 años
PROFESOR INTERINO LICENCIADO           ,861788.05,7/8 of time,9,PUESTO NO ADMINISTRATIVO ,0.86178805,5666.549077677117,10 años
PROFESIONAL B,2186765.0,Full time,13,ADMINISTRATIVO,2.186765,12581.38215610645,20 años
TECNICO ESPECIALIZADO A,1296258.0,Full time,16,ADMINISTRATIVO,1.296258,7457.919470501054,20 años
PROFESOR EXBECARIO,2221073.0,Full time,9,PUESTO NO ADMINISTRATIVO ,2.221073,12778.770562730711,10 años
TECNICO ESPECIALIZADO B,1325520.0,Full time,16,ADMINISTRATIVO,1.32552,7626.27610902965,20 años
PROFESIONAL B,2559860.0,Full time,16,ADMINISTRATIVO,2.55986,14727.955187745669,20 años
TRABAJADOR OPERATIVO C,1493590.0,Full time,16,ADMINISTRATIVO,1.49359,8593.253767340813,20 años
PROFESOR CATEDRATICO,2363398.0,Full time,8,PUESTO NO ADMINISTRATIVO ,2.363398,13597.626368163783,10 años
PROFESIONAL C,2788473.0,Full time,16,ADMINISTRATIVO,2.788473,16043.262282405572,20 años
TECNICO ESPECIALIZADO B,1325520.0,Full time,16,ADMINISTRATIVO,1.32552,7626.27610902965,20 años
PROFESOR INSTRUCTOR                    ,223682.95,1/8  of time,14,PUESTO NO ADMINISTRATIVO ,0.22368295000000002,10295.539486886799,20 años
PROFESOR INSTRUCTOR                    ,313786.8,1/4 of  time,16,PUESTO NO ADMINISTRATIVO ,0.3137868,7221.391683773507,20 años
PROFESOR INSTRUCTOR                    ,205216.3,1/8  of time,15,PUESTO NO ADMINISTRATIVO ,0.2052163,9445.568023860591,20 años
TECNICO ESPECIALIZADO D,1555306.0,Full time,16,PUESTO NO ADMINISTRATIVO ,1.555306,8948.33196785448,20 años
TECNICO ASISTENCIAL A,1076775.0,Full time,17,ADMINISTRATIVO,1.076775,6195.141119938138,20 años
JEFE A,3231457.0,Full time,16,ADMINISTRATIVO,3.231457,18591.936233671786,20 años
PROFESIONAL A,1881698.0,Full time,16,ADMINISTRATIVO,1.881698,10826.202925500085,20 años
TRABAJADOR OPERATIVO C,1080568.0,Full time,16,ADMINISTRATIVO,1.080568,6216.963850098038,20 años
TRABAJADOR OPERATIVO B,1014408.0,Full time,15,ADMINISTRATIVO,1.014408,5836.317441614271,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,16,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
TECNICO ASISTENCIAL A,1367078.0,Full time,16,ADMINISTRATIVO,1.367078,7865.376826136186,20 años
PROFESOR INTERINO LICENCIADO           ,1717773.0,Full time,16,PUESTO NO ADMINISTRATIVO ,1.717773,9883.073201940513,20 años
TECNICO ASISTENCIAL A,1133104.0,Full time,16,ADMINISTRATIVO,1.133104,6519.22563540794,20 años
TRABAJADOR OPERATIVO A,1008544.0,Full time,16,ADMINISTRATIVO,1.008544,5802.57937421178,20 años
PROFESOR INTERINO LICENCIADO           ,63925.9,1/8  of time,5,PUESTO NO ADMINISTRATIVO ,0.06392590000000001,2942.3415047270114,10 años
TECNICO ASISTENCIAL B,1180851.0,Full time,16,ADMINISTRATIVO,1.180851,6793.934282110999,20 años
TECNICO ASISTENCIAL B,1180851.0,Full time,16,ADMINISTRATIVO,1.180851,6793.934282110999,20 años
PROFESOR INSTRUCTOR                    ,611931.15,Part Time,6,PUESTO NO ADMINISTRATIVO ,0.61193115,7041.396447607037,10 años
PROFESOR VISITANTE,1302682.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.302682,7494.8794542994165,10 años
TRABAJADOR OPERATIVO C,1468826.0,Full time,16,ADMINISTRATIVO,1.468826,8450.776021577632,20 años
TECNICO ESPECIALIZADO D,1826201.0,Full time,16,ADMINISTRATIVO,1.826201,10506.90525724701,20 años
PROFESOR INTERINO LICENCIADO           ,1190345.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.190345,6848.557271865304,10 años
PROFESOR CATEDRATICO,3957624.0,Full time,16,PUESTO NO ADMINISTRATIVO ,3.957624,22769.881525531386,20 años
PROFESOR INSTRUCTOR                    ,424914.1,1/4 of  time,11,PUESTO NO ADMINISTRATIVO ,0.42491409999999996,9778.840754480763,20 años
TECNICO ESPECIALIZADO D,1440413.0,Full time,16,ADMINISTRATIVO,1.440413,8287.304038442064,20 años
PROFESOR ASOCIADO                      ,2440047.0,Full time,12,PUESTO NO ADMINISTRATIVO ,2.440047,14038.620421426662,20 años
PROFESOR INTERINO LICENCIADO           ,1988491.0,Full time,16,PUESTO NO ADMINISTRATIVO ,1.988491,11440.628135615063,20 años
TECNICO ESPECIALIZADO D,1499259.0,Full time,13,ADMINISTRATIVO,1.499259,8625.869917426884,20 años
PROFESIONAL A,2031003.0,Full time,13,ADMINISTRATIVO,2.031003,11685.217617438851,20 años
PROFESOR INTERINO LICENCIADO           ,82689.9,1/8  of time,7,PUESTO NO ADMINISTRATIVO ,0.0826899,3805.9992083291136,10 años
PROFESIONAL B,2108881.0,Full time,16,ADMINISTRATIVO,2.108881,12133.282626506245,20 años
TECNICO ASISTENCIAL A,1072939.0,Full time,14,ADMINISTRATIVO,1.072939,6173.0709926264135,20 años
TECNICO ESPECIALIZADO D,1214883.0,Full time,16,ADMINISTRATIVO,1.214883,6989.734744225864,20 años
PROFESIONAL A,1881698.0,Full time,16,ADMINISTRATIVO,1.881698,10826.202925500085,20 años
PROFESOR INTERINO LICENCIADO           ,602455.1,Full time,2,PUESTO NO ADMINISTRATIVO ,0.6024551,3466.178507976544,10 años
TRABAJADOR OPERATIVO B,1014408.0,Full time,16,ADMINISTRATIVO,1.014408,5836.317441614271,20 años
