position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR INTERINO LICENCIADO           ,285462.25,1/4 of  time,6,PUESTO NO ADMINISTRATIVO ,0.28546225,6569.539311982767,10 años
TRABAJADOR OPERATIVO C,1474137.0,Full time,10,ADMINISTRATIVO,1.474137,8481.332446539202,10 años
TECNICO ASISTENCIAL A,880584.0,Full time,9,ADMINISTRATIVO,0.880584,5066.3714777549685,10 años
PROFESIONAL B,2017571.0,Full time,10,ADMINISTRATIVO,2.017571,11607.937651315002,10 años
PROFESIONAL A,962537.0,Full time,1,ADMINISTRATIVO,0.962537,5537.881682024467,10 años
TECNICO ESPECIALIZADO B,1208617.0,Full time,10,ADMINISTRATIVO,1.208617,6953.683801124908,10 años
PROFESOR INTERINO LICENCIADO           ,166113.45,1/4 of  time,2,PUESTO NO ADMINISTRATIVO ,0.16611345000000002,3822.8832009279117,10 años
PROFESOR INTERINO LICENCIADO           ,1126645.1,Full time,6,PUESTO NO ADMINISTRATIVO ,1.1266451000000002,6482.064857177049,10 años
PROFESIONAL B,1795537.0,Full time,5,ADMINISTRATIVO,1.795537,10330.482320884461,10 años
PROFESOR INTERINO LICENCIADO           ,193982.15,1/4 of  time,6,PUESTO NO ADMINISTRATIVO ,0.19398215,4464.244782796807,10 años
PROFESOR INTERINO LICENCIADO           ,34167.3,1/8  of time,6,PUESTO NO ADMINISTRATIVO ,0.034167300000000005,1572.6312010383776,10 años
PROFESOR INTERINO LICENCIADO           ,159473.55,1/4 of  time,5,PUESTO NO ADMINISTRATIVO ,0.15947355,3670.0746103782526,10 años
TECNICO ESPECIALIZADO D,303285.0,Part Time,0,ADMINISTRATIVO,0.303285,3489.8532647218562,10 años
PROFESOR INTERINO LICENCIADO           ,942695.25,3/4 of time,7,PUESTO NO ADMINISTRATIVO ,0.94269525,7231.6316244902455,10 años
PROFESOR INTERINO LICENCIADO           ,332227.05,Part Time,2,PUESTO NO ADMINISTRATIVO ,0.33222704999999997,3822.884926954552,10 años
PROFESOR INTERINO LICENCIADO           ,214096.65,1/4 of  time,7,PUESTO NO ADMINISTRATIVO ,0.21409665,4927.153620973755,10 años
PROFESIONAL A,1180131.0,Full time,7,ADMINISTRATIVO,1.180131,6789.791818173449,10 años
TECNICO ESPECIALIZADO D,1244257.0,Full time,9,ADMINISTRATIVO,1.244257,7158.7357660336365,10 años
TECNICO ESPECIALIZADO D,1173470.0,Full time,8,ADMINISTRATIVO,1.17347,6751.468273328976,10 años
TECNICO ESPECIALIZADO D,1244257.0,Full time,9,ADMINISTRATIVO,1.244257,7158.7357660336365,10 años
TECNICO ASISTENCIAL B,969876.95,Full time,9,ADMINISTRATIVO,0.96987695,5580.111512827829,10 años
PROFESIONAL A,733716.5,Part Time,10,ADMINISTRATIVO,0.7337165,8442.761504542901,10 años
PROFESIONAL B,1648588.0,Full time,9,ADMINISTRATIVO,1.648588,9485.0226914969,10 años
TECNICO ASISTENCIAL B,969877.0,Full time,9,ADMINISTRATIVO,0.969877,5580.111800498936,10 años
TRABAJADOR OPERATIVO A,853583.0,Full time,9,ADMINISTRATIVO,0.853583,4911.0233266747055,10 años
TRABAJADOR OPERATIVO B,874610.0,Full time,9,ADMINISTRATIVO,0.87461,5032.000533917574,10 años
PROFESOR INTERINO LICENCIADO           ,444570.5,Part Time,2,PUESTO NO ADMINISTRATIVO ,0.4445705,5115.6035109683235,10 años
TRABAJADOR OPERATIVO B,874610.0,Full time,9,ADMINISTRATIVO,0.87461,5032.000533917574,10 años
TECNICO ASISTENCIAL B,545105.0,Full time,3,ADMINISTRATIVO,0.545105,3136.219173164198,10 años
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8  of time,6,PUESTO NO ADMINISTRATIVO ,0.0738303,3398.2150583166867,10 años
TRABAJADOR OPERATIVO A,675197.0,Full time,7,ADMINISTRATIVO,0.675197,3884.6933656138667,10 años
TECNICO ESPECIALIZADO D,1244257.0,Full time,9,ADMINISTRATIVO,1.244257,7158.7357660336365,10 años
TECNICO ASISTENCIAL B,969877.0,Full time,9,ADMINISTRATIVO,0.969877,5580.111800498936,10 años
